SFD,SFD_k,Planck2014-R,Planck2014-R_k,Planck2014-Tau,Planck2014-Tau_k,Planck2019-Tau,Planck2019-Tau_k
0.009,0.997,0.017,0.835,0.009,1.216,0.009,1.065
0.016,0.728,0.025,0.777,0.015,1.01,0.015,0.884
0.025,0.71,0.035,0.83,0.025,0.962,0.024,0.89
0.034,0.783,0.045,0.854,0.035,0.944,0.035,0.89
0.045,0.834,0.055,0.909,0.045,0.96,0.045,0.911
0.055,0.913,0.065,0.944,0.054,1.017,0.055,0.975
0.065,0.962,0.075,0.985,0.065,1.041,0.065,1.008
0.075,0.971,0.085,0.972,0.075,1.033,0.074,1.017
0.084,1.002,0.095,0.969,0.085,1.035,0.085,1.013
0.095,0.981,0.105,0.98,0.095,1.005,0.094,1.006
0.105,0.997,0.136,1.029,0.105,1.032,0.105,1
0.138,1.024,0.249,0.985,0.141,1.035,0.141,1.023
0.252,0.989,0.35,0.992,0.251,0.984,0.251,0.978
0.355,0.976,0.427,0.991,0.362,0.98,0.358,0.972
0.45,0.969,,,0.452,1.007,0.449,0.984
0.558,0.975,,,0.539,1.01,0.549,0.99
0.632,0.98,,,,,,
