,SFD,Planck2014-R,Planck2014-Tau,Planck2019-Tau
a,-0.0096664,0.0007690,0.0003437,-0.0011918
b,1103.8527321,-195.2549470,25.0345231,-29.6874082
c,3.6652110,0.0578553,0.0308794,-0.0822918
d,623.1533468,-15.6974711,7.5020031,-11.6586509
e,87.1827827,1.7125698,0.7068647,-1.7087918
f,-11592.2395358,454.3115073,-309.0274163,399.8471526
g,0.3264288,-0.0712684,-0.0647263,0.2236456
h,-219.0927722,-4.2123580,-3.8361633,10.0293453
i,-3365.6297663,-57.9146527,-61.9580752,118.9355843
j,2.4443323,2.4844060,4.3976829,-14.3621849
k,32345.3778957,440.2730008,1331.7124722,-2046.8604171
l,4350.8798470,96.5155018,165.9610933,-375.9821150
m,-180.9410685,-38.5440982,-133.0115411,380.1986985
n,-28699.9073759,-707.2919166,-2420.6173146,4497.9132419
o,1576.5430626,225.1130841,1513.4808280,-3575.0589374
